,target
1_1,-1.5717758299097755
1_2,-1.4084264720866826
1_3,-1.4381008853274664
1_4,-1.4547010801465539
1_5,-1.5918140788738053
2_1,4.946205870120129
2_2,4.944882149179161
2_3,4.773647763601736
2_4,4.856136330254553
2_5,4.907122250454394
3_1,1.751214302401543
3_2,1.8195194491059532
3_3,1.886102240045102
3_4,1.892317924822456
3_5,1.8812544334144181
4_1,2.270982480024914
4_2,2.1695891471274846
4_3,2.24608436794905
4_4,2.297620026246013
4_5,2.152337271224518
5_1,1.776146851378354
5_2,1.6344293570650403
5_3,1.6134593404865694
5_4,1.6549399778655904
5_5,1.6929918488143372
6_1,1.861815594990294
6_2,1.8197550521190748
6_3,2.0674365665914407
6_4,1.7939391797685424
6_5,1.6180482280139457
7_1,1.5147816304025679
7_2,1.592963177204574
7_3,1.6035535999527695
7_4,1.3959173232074902
7_5,1.470432688478682
8_1,1.5291961451067517
8_2,1.5127610573909687
8_3,1.48828953425207
8_4,1.480851356760198
8_5,1.4989798535002303
9_1,1.4764536465832834
9_2,1.4716037594629754
9_3,1.4884062944384788
9_4,1.4852390861965123
9_5,1.486021686076942
10_1,4.7001680788012505
10_2,4.841096785289618
10_3,4.68961702584899
10_4,4.7848708358078555
10_5,4.682067943092172
11_1,2.323755900383775
11_2,2.3958462752248324
11_3,2.3950505747801456
11_4,2.382620531814375
11_5,2.3743292264306772
12_1,4.397414363839036
12_2,4.481462479374587
12_3,4.493128648785362
12_4,4.385433852665863
12_5,4.432535157676333
13_1,1.6906926164793383
13_2,1.7001884596478047
13_3,1.6670937557378243
13_4,1.6338606511088698
13_5,1.6487591152112104
14_1,-1.3120388179127562
14_2,-1.1608832507849483
14_3,-1.2534614190272941
14_4,-1.3648657932714405
14_5,-1.286871390102403
15_1,1.8419272457229672
15_2,1.9599150823295368
15_3,1.8890414390953647
15_4,1.8336438171586287
15_5,1.8672314226974902
16_1,0.8367241280423662
16_2,0.8481431211654247
16_3,0.7812686636015991
16_4,0.7869894974393056
16_5,0.7776442393216054
17_1,-0.41596198366596815
17_2,-0.3040192881768011
17_3,0.01830262668970715
17_4,-0.13664189917481467
17_5,-0.3117520715034277
18_1,0.7093981946187292
18_2,0.38595285389498396
18_3,0.8012792902987889
18_4,0.40117628300085834
18_5,0.433240565529023
19_1,0.3670499869328905
19_2,0.438174093162441
19_3,0.3893541649878406
19_4,0.34548842316383316
19_5,0.3125621019681761
20_1,0.37670171796098223
20_2,0.38282637328924407
20_3,0.37432999580088466
20_4,0.3813127604385859
20_5,0.3882141446122958
21_1,1.0026740649045403
21_2,0.3648620398227882
21_3,0.8469097822994621
21_4,1.0870051222592716
21_5,1.5783698432071909
22_1,1.1647692257135682
22_2,0.6883290391613397
22_3,1.0472397502232933
22_4,1.164634424039911
22_5,0.8631226958236078
23_1,-0.4690667960773348
23_2,-0.2719586634077892
23_3,-0.24800831667999665
23_4,-0.15330997404503724
23_5,-0.21545885092762754
24_1,2.0196560674254864
24_2,2.08414937202958
24_3,2.0066473694072937
24_4,2.0344702305477695
24_5,2.033568642966292
