,target
1_1,-1.471062826689306
1_2,-1.435269353742023
1_3,-1.4904537607278376
1_4,-1.4517684689290962
1_5,-1.6017145354510487
2_1,4.872488895508018
2_2,4.675007375699871
2_3,4.649139871257864
2_4,4.6206176182247995
2_5,4.7564440022772345
3_1,1.915988323670013
3_2,1.9199492729995167
3_3,1.9004881740536164
3_4,1.8191459969185282
3_5,1.8935355463315782
4_1,2.2942478798127612
4_2,2.1967892946074343
4_3,2.2978308883935616
4_4,2.222013620184368
4_5,2.228327155942796
5_1,1.3001122566821766
5_2,1.6415133103997166
5_3,1.4040205137470623
5_4,1.5601568858530024
5_5,1.4795186544674044
6_1,1.8028587999637544
6_2,1.6260742862291673
6_3,1.8425956145634013
6_4,1.692463739466161
6_5,1.4787310937358418
7_1,1.339794910361929
7_2,1.4629501772383435
7_3,1.4094960587674084
7_4,1.389311818433965
7_5,1.4439327926737406
8_1,1.5336418291622531
8_2,1.4798480573814512
8_3,1.5015135271430649
8_4,1.4784775361293825
8_5,1.496923812659718
9_1,1.477879415087806
9_2,1.480987158496921
9_3,1.473317537100784
9_4,1.4881716957354805
9_5,1.4886608902709946
10_1,4.680433969348447
10_2,4.696011461832296
10_3,4.551102954113459
10_4,4.514866252259072
10_5,4.556416745310587
11_1,2.4493178018205435
11_2,2.510127822537607
11_3,2.4934273490751804
11_4,2.4964871430610085
11_5,2.453795006691791
12_1,4.386848524752668
12_2,4.430047314746075
12_3,4.470762182598592
12_4,4.315825205573723
12_5,4.3832286687392035
13_1,1.5447819170264652
13_2,1.617375832081247
13_3,1.5819801699277205
13_4,1.5977339944451938
13_5,1.6335276562377294
14_1,-1.443190718824854
14_2,-1.3880027858200807
14_3,-1.3676431310425021
14_4,-1.4115723774879305
14_5,-1.479566174877956
15_1,1.8257054983158838
15_2,1.9323996280066538
15_3,1.883558897063165
15_4,1.8765857453524313
15_5,1.9059692587243633
16_1,0.5643489023626009
16_2,0.7704970728141166
16_3,0.5351052323856323
16_4,0.7375903148318921
16_5,0.6337950671433294
17_1,-0.05773516628277274
17_2,-0.3691649252815933
17_3,-0.3432348534305932
17_4,-0.01929055588655663
17_5,-0.0880207570711608
18_1,0.6097243726592733
18_2,0.4440038423374329
18_3,0.7600076296743058
18_4,0.6523405461756042
18_5,0.4999623879716519
19_1,0.41211954879019724
19_2,0.43419752504873427
19_3,0.4304719885738212
19_4,0.4500866219907224
19_5,0.4272323898170902
20_1,0.28421325761943395
20_2,0.2918515238565782
20_3,0.3267062409308985
20_4,0.31876699174938117
20_5,0.29710214051315753
21_1,0.7633033338161257
21_2,0.3066566667824816
21_3,0.8466716628287076
21_4,0.34234503798911475
21_5,0.650371169755379
22_1,1.1648019876187068
22_2,1.2222201562951718
22_3,1.0470488559396909
22_4,0.9938181991020627
22_5,0.9423796632915394
23_1,-0.4252314119922199
23_2,-0.30568593725903115
23_3,-0.3926184455193729
23_4,-0.2868718138297068
23_5,-0.3626757137067038
24_1,2.006452604745872
24_2,2.042487775304948
24_3,2.075047451745596
24_4,2.0534610746179935
24_5,2.0397662359652875
