,target
1_1,-9.187086643357144
1_2,-9.301029995663981
1_3,-9.096910013008056
1_4,-9.221848749616356
1_5,-9.1249387366083
2_1,-9.221848749616356
2_2,-9.187086643357144
2_3,-9.096910013008056
2_4,-9.154901959985743
2_5,-9.1249387366083
3_1,0.29883520541333397
3_2,0.17389646880503398
3_3,0.29883520541333397
3_4,0.3957452184213904
3_5,0.3957452184213904
4_1,0.8429029356181686
4_2,0.8429029356181686
4_3,0.9008949218913289
4_4,0.9688501193596871
4_5,0.8728783702004217
5_1,-8.0
5_2,-8.0
5_3,-8.0
5_4,-8.0
5_5,-8.0
6_1,-9.045757490560675
6_2,-6.967582721167231
6_3,-9.0
6_4,-9.045757490560675
6_5,-8.22548303427145
7_1,-0.2978707414311216
7_2,-2.0020149859769116
7_3,-1.2487398406015562
7_4,-8.0
7_5,-0.2803083857259271
8_1,-9.301029995663981
8_2,-9.070581074285707
8_3,-9.045757490560675
8_4,-9.154901959985743
8_5,-9.070581074285707
9_1,-9.096910013008056
9_2,-9.221848749616356
9_3,-9.187086643357144
9_4,-9.154901959985743
9_5,-9.1249387366083
10_1,-9.1249387366083
10_2,-9.154901959985743
10_3,-9.154901959985743
10_4,-9.096910013008056
10_5,-9.221848749616356
11_1,-9.259637310505756
11_2,-9.154901959985743
11_3,-9.221848749616356
11_4,-9.221848749616356
11_5,-9.301029995663981
12_1,-3.92150457568079
12_2,-9.187086643357144
12_3,-4.0565989812384045
12_4,-9.301029995663981
12_5,-9.096910013008056
13_1,-3.325953396840353
13_2,-3.0786830400261573
13_3,-2.217719640276656
13_4,-4.962302650529334
13_5,-3.892632457545278
14_1,-9.045757490560675
14_2,-9.045757490560675
14_3,-9.070581074285707
14_4,-9.0
14_5,-9.045757490560675
15_1,-0.0015859165803775294
15_2,0.29883520541333397
15_3,0.30013195615940175
15_4,0.3957452184213904
15_5,0.29883520541333397
16_1,-0.05618743523210763
16_2,-0.06425970677429793
16_3,-0.23209636367196546
16_4,-0.3730125227591174
16_5,-0.1669440369314489
17_1,-2.1390836647955322
17_2,-2.9070163149771235
17_3,-3.8008860447518913
17_4,-1.7413160965658747
17_5,-2.978368111601968
18_1,-0.8242933762018925
18_2,-1.385661009647975
18_3,-0.6629800704078372
18_4,-0.7309895115804593
18_5,-0.7390908649436335
19_1,-0.9748397686669542
19_2,-1.0303069301011205
19_3,-1.0077761333764381
19_4,-0.7070815196618403
19_5,-0.9640556025019358
20_1,0.29622745350934165
20_2,0.31654116862008924
20_3,0.3355003702259894
20_4,0.32569330006268293
20_5,0.3251967733349287
21_1,0.09525848089621204
21_2,0.2560003942911141
21_3,-9.154901959985743
21_4,0.287295615467661
21_5,-9.096910013008056
22_1,-9.397940008672037
22_2,0.059947318903192826
22_3,-0.4610137116715525
22_4,0.8616317245484426
22_5,-0.1599837163842051
23_1,-0.1182247812428284
23_2,-0.34155191021634623
23_3,-0.6903163102482721
23_4,-0.21684366252879325
23_5,-0.325943878435196
24_1,0.8362664738247495
24_2,0.7881402099196722
24_3,0.44986667253341267
24_4,0.792660311508676
24_5,0.33226084647584153
