,target
1_1,-9.096910013008056
1_2,-9.154901959985743
1_3,-9.259637310505756
1_4,-9.154901959985743
1_5,-9.154901959985743
2_1,-4.779210917765831
2_2,-4.784584530692926
2_3,-4.043125214690092
2_4,-4.470755775051521
2_5,-4.3390354420908235
3_1,0.8728661799386483
3_2,0.5440223610610326
3_3,0.9272237474041649
3_4,0.8126269129964698
3_5,0.975988011514491
4_1,1.1739689237058437
4_2,0.9988410323734175
4_3,1.2152884203643008
4_4,1.2175132899245262
4_5,1.1867883441469649
5_1,-8.0
5_2,-8.0
5_3,-8.0
5_4,-8.0
5_5,-8.0
6_1,-9.154901959985743
6_2,-9.096910013008056
6_3,-9.096910013008056
6_4,-9.154901959985743
6_5,-9.096910013008056
7_1,-0.33874297261298325
7_2,-0.1794089051731734
7_3,-0.42029446111616575
7_4,-0.6764458061082679
7_5,-0.5368873051615338
8_1,-3.2161960770291045
8_2,0.29472414148258885
8_3,-4.366988298723639
8_4,-2.1796491288382
8_5,-6.386105347458833
9_1,-5.794741487995941
9_2,-4.335325124592951
9_3,-9.259637310505756
9_4,-6.761953896871205
9_5,-6.96738123914928
10_1,-3.794539845879532
10_2,-4.03685701198004
10_3,-4.450092898975967
10_4,0.5699091692737631
10_5,-2.82164746173872
11_1,-0.6139288138643818
11_2,0.31393607409287416
11_3,0.08840211007481143
11_4,0.4456524731854075
11_5,-0.13687020907589484
12_1,-0.3064071627520919
12_2,-5.301934268956924
12_3,0.5474503691205861
12_4,-5.104110810556423
12_5,-2.953631181839411
13_1,-1.9515493144801985
13_2,-0.6256799539498008
13_3,-0.5246404400529517
13_4,-0.5735277278307099
13_5,-1.6830649377160305
14_1,-6.2111955069553515
14_2,-5.9188327852865275
14_3,-6.094743951251549
14_4,-5.468546630443378
14_5,-6.696587929403258
15_1,0.9272237474041648
15_2,1.1113503290826434
15_3,0.9520473526880662
15_4,1.111747800105114
15_5,0.738402855748209
16_1,0.21685039868515013
16_2,-0.07607533868090575
16_3,-0.07900956978680894
16_4,0.16174326926155685
16_5,-2.0900094925463586
17_1,-1.785869756760613
17_2,-1.4427810150152705
17_3,-1.198751474725972
17_4,-0.7755881807452241
17_5,-1.0107423414103374
18_1,-0.7854604451384606
18_2,-0.2687820033482083
18_3,-0.024365488630853485
18_4,0.11413511206445008
18_5,-0.5528903909264745
19_1,-0.07906145679959936
19_2,0.08162696057924688
19_3,-0.03225888028891116
19_4,-0.08957359638639828
19_5,0.17586700663061208
20_1,0.16458658655203562
20_2,0.043663281644849596
20_3,0.14046147446273174
20_4,0.24961870857448834
20_5,0.176162507848691
21_1,0.14740815234341037
21_2,0.2560003942911141
21_3,-0.46101371148323567
21_4,0.287295615467661
21_5,0.3229236583238678
22_1,-9.397940008672037
22_2,0.29114650837485184
22_3,0.29114650837485184
22_4,0.5130624298057944
22_5,0.8616317245484426
23_1,0.30795618797686525
23_2,0.033628402938925744
23_3,0.21484699325520587
23_4,0.2349964911119581
23_5,0.10171070586128127
24_1,1.0168389982844148
24_2,1.0649204631467726
24_3,1.0084049935176642
24_4,1.2258138625282198
24_5,1.2078774460577826
