,target
1_1,-9.045757490560675
1_2,-9.045757490560675
1_3,-9.096910013008056
1_4,-9.096910013008056
1_5,-9.096910013008056
2_1,-0.01289577119912743
2_2,0.546622511109966
2_3,0.3143047178677203
2_4,0.4803272278159798
2_5,0.5392525285100138
3_1,1.9272229562540653
3_2,1.895431339085903
3_3,1.898171007211507
3_4,1.9373230809527142
3_5,1.9496266546363876
4_1,2.190927461535559
4_2,2.2566789090257164
4_3,2.1895331282847503
4_4,2.175339744759806
4_5,2.197832590000675
5_1,-8.0
5_2,-8.0
5_3,-8.0
5_4,-8.0
5_5,-8.0
6_1,-3.5234632645358737
6_2,-3.9323040165077496
6_3,-3.886066669989157
6_4,-4.341135170869582
6_5,-4.430852661557232
7_1,1.303246180314172
7_2,1.2280860353695984
7_3,1.3265087106699756
7_4,1.3032947806401405
7_5,1.344576801618399
8_1,0.8219790828725253
8_2,0.838995207701313
8_3,0.8565648004853892
8_4,0.868016076001902
8_5,0.9219852274274688
9_1,0.8717416972187277
9_2,0.8827458694450967
9_3,0.8328488829811773
9_4,0.7507542277684902
9_5,0.7841006503254895
10_1,0.3428008849666857
10_2,0.6300107027870201
10_3,0.2976437346947316
10_4,0.6257764140455245
10_5,0.31696728278464126
11_1,-3.6684695581350644
11_2,-4.095330969448109
11_3,-3.5496935285562197
11_4,-4.083561054609506
11_5,-3.7420320319068696
12_1,-4.865448387264586
12_2,-4.577947205199709
12_3,-8.073143291050307
12_4,-5.19988117567248
12_5,-5.483702660904297
13_1,-0.06327988998635281
13_2,0.5407982292026557
13_3,-0.4835449163970585
13_4,0.23903803183946165
13_5,0.7783291779075814
14_1,-6.2971388294270705
14_2,-6.348237552619889
14_3,-6.36825192560343
14_4,-6.2639223629960545
14_5,-6.182038195468006
15_1,1.9619255018258959
15_2,2.012744154022875
15_3,1.930380859283862
15_4,1.9569359156828188
15_5,1.8581423052986943
16_1,0.6913665186524641
16_2,0.7505960280049916
16_3,0.5294976587258291
16_4,0.42873904032715016
16_5,0.7689357548449152
17_1,0.14257979442099433
17_2,0.04210724404993595
17_3,0.21476613441194323
17_4,0.07345307132052929
17_5,0.062245419129665816
18_1,0.6224864485748399
18_2,0.47147041779769877
18_3,0.6604276361818355
18_4,0.6112244394141152
18_5,0.6085212022862846
19_1,0.7353111014341076
19_2,0.7790738167529678
19_3,0.754990805932554
19_4,0.7843044361902106
19_5,0.7704440288832065
20_1,0.28366616737375294
20_2,0.31316880001557057
20_3,0.28364637494858425
20_4,0.2753770046641697
20_5,0.3124062261625973
21_1,1.1237394232157425
21_2,0.30089640413819285
21_3,0.8457860397464235
21_4,-0.1599837163842051
21_5,0.3609348826054004
22_1,1.1639017146744304
22_2,0.8616317245484426
22_3,0.8362027425780612
22_4,0.7043854063137328
22_5,0.8616317245484426
23_1,0.5307549272360348
23_2,0.5455907913932433
23_3,0.5581154381655441
23_4,0.5833372289993332
23_5,0.5668988955936242
24_1,2.1013709512042222
24_2,2.073265271473001
24_3,1.921693758050797
24_4,2.0490798872461555
24_5,2.048460947205456
