,target
1_1,-9.096910013008056
1_2,-9.301029995663981
1_3,-9.096910013008056
1_4,-9.221848749616356
1_5,-9.301029995663981
2_1,0.7188234747577452
2_2,-0.29942623585121186
2_3,0.3740705055929623
2_4,-0.21067915926052197
2_5,0.02079695932274052
3_1,0.4749264744647466
3_2,0.47492646476001177
3_3,0.4749264644690152
3_4,1.1439321445207664
3_5,0.4749264644690152
4_1,1.4291678322222854
4_2,1.276557883767669
4_3,1.4891649827261595
4_4,0.9978047699544017
4_5,1.0769859061477933
5_1,-8.0
5_2,-8.0
5_3,-8.0
5_4,-8.0
5_5,-8.0
6_1,-5.980509837002492
6_2,-6.358922686674625
6_3,-6.656788409820253
6_4,-4.357134017171766
6_5,-4.946449085989101
7_1,-1.5458048098298267
7_2,-0.8516298149420826
7_3,-2.2292672148767596
7_4,-8.0
7_5,-0.577799961848214
8_1,0.6034642535637215
8_2,-4.830055317888324
8_3,-1.6407505903304125
8_4,-1.8653478740648712
8_5,-4.2453367620627045
9_1,-4.366215533436426
9_2,-1.4310259798767206
9_3,-4.65378007306565
9_4,0.5946982758216075
9_5,-8.443697499232712
10_1,0.5359865041440899
10_2,0.08753206134674381
10_3,-2.369126962345846
10_4,0.9707418440493772
10_5,0.466724893458405
11_1,-0.23106975864789925
11_2,0.5626560570190783
11_3,0.8210685894762755
11_4,1.0027747384822345
11_5,0.5930993345081096
12_1,0.56455932448599
12_2,0.44357168183669193
12_3,0.4728683883303947
12_4,-0.4066276638533033
12_5,-1.0608196087756585
13_1,-1.5270517050900465
13_2,-1.2886861574998294
13_3,-2.3322986270118093
13_4,-0.24082848597068018
13_5,-0.45630795184587886
14_1,-5.303495085234615
14_2,-4.517263583676243
14_3,-4.3649708917778405
14_4,-4.6004699135914
14_5,-4.317419944150653
15_1,0.7759560936372348
15_2,0.8429029356244043
15_3,0.29883520584982876
15_4,0.4749264644690152
15_5,0.8429029356181686
16_1,0.30956649293060357
16_2,0.3344538012154308
16_3,-0.4021444285819088
16_4,0.17489315609818448
16_5,-0.10042219284578621
17_1,-2.805347649328823
17_2,-1.7899736983637053
17_3,-4.509437582676574
17_4,-2.3910994473434846
17_5,-5.5181562285816215
18_1,-2.43750662107829
18_2,-1.3469284772365395
18_3,-0.9574376736964375
18_4,-0.47536418415716336
18_5,-2.211774254850146
19_1,-0.02936330228573934
19_2,-0.9909680953138615
19_3,-1.0442137808492942
19_4,-0.24457235038001374
19_5,-0.5194498379689814
20_1,0.3457826876829659
20_2,0.41035416622646176
20_3,0.36724860133589066
20_4,0.26848035299368067
20_5,0.3457826876829659
21_1,0.09525848089621204
21_2,0.5010326265862055
21_3,-9.522878745280337
21_4,0.7212171688062807
21_5,0.09525848089621204
22_1,0.29114650837485184
22_2,-0.1599837163842051
22_3,0.413391598448304
22_4,0.8616317245484426
22_5,-0.1599837163842051
23_1,-0.12202226557597606
23_2,-0.003289736330927664
23_3,-0.7138301832914472
23_4,-1.1325209513403578
23_5,-0.7799381683552871
24_1,1.0424273133256394
24_2,0.9296376384971028
24_3,1.0790567802831557
24_4,0.8859167199083362
24_5,1.1949106307004622
