,target
1_1,-9.154901959985743
1_2,-9.221848749616356
1_3,-9.259637310505756
1_4,-9.301029995663981
1_5,-9.221848749616356
2_1,-9.301029995663981
2_2,-9.154901959985743
2_3,-9.1249387366083
2_4,-9.096910013008056
2_5,-9.397940008672037
3_1,0.9520468629232055
3_2,0.6595931153161814
3_3,0.849879145022299
3_4,0.7759560936299599
3_5,0.5436479425858208
4_1,0.810718228081724
4_2,0.6967749941835867
4_3,0.9008947844280867
4_4,1.00306056022479
4_5,0.9008947844280867
5_1,-8.0
5_2,-8.0
5_3,-8.0
5_4,-8.0
5_5,-8.0
6_1,-9.096910013008056
6_2,-9.045757490560675
6_3,-9.187086643357144
6_4,-9.154901959985743
6_5,-9.154901959985743
7_1,-8.0
7_2,-2.2899778641815662
7_3,-8.0
7_4,-8.0
7_5,-8.0
8_1,-9.187086643357144
8_2,0.5944853042351114
8_3,-9.154901959985743
8_4,-9.221848749616356
8_5,-9.301029995663981
9_1,-9.187086643357144
9_2,-9.187086643357144
9_3,-9.221848749616356
9_4,-9.096910013008056
9_5,-9.1249387366083
10_1,-9.221848749616356
10_2,-9.045757490560675
10_3,-9.070581074285707
10_4,-9.221848749616356
10_5,-9.096910013008056
11_1,-9.1249387366083
11_2,-9.259637310505756
11_3,-9.096910013008056
11_4,-9.070581074285707
11_5,-9.221848749616356
12_1,-9.187086643357144
12_2,-9.1249387366083
12_3,-9.154901959985743
12_4,-9.096910013008056
12_5,-9.154901959985743
13_1,-9.096910013008056
13_2,-9.154901959985743
13_3,-9.070581074285707
13_4,-9.1249387366083
13_5,-9.045757490560675
14_1,-9.045757490560675
14_2,-9.1249387366083
14_3,-9.096910013008056
14_4,-9.045757490560675
14_5,-9.022276394711152
15_1,0.6200270301101775
15_2,0.4749264644690152
15_3,0.6117376195479906
15_4,0.3000428555332718
15_5,0.5194434433834675
16_1,-0.5039505556013162
16_2,0.25579974337497996
16_3,0.30823843877239787
16_4,0.586271325473161
16_5,-0.420883853817076
17_1,-3.9377898633105675
17_2,-5.138842101028143
17_3,-5.338182583611797
17_4,-2.44365059796129
17_5,-2.4067128306263257
18_1,-1.8513442923308998
18_2,-1.332105865571045
18_3,-0.6040720413568853
18_4,-1.0624214423841363
18_5,-1.0529283153878732
19_1,-0.1498423719237141
19_2,-0.1195067798364922
19_3,-0.08227048378408536
19_4,-0.2592190782209135
19_5,-0.1460235888333289
20_1,0.1984340236406528
20_2,0.14048684635762787
20_3,0.08774923209602921
20_4,0.17621569896435907
20_5,0.2579905727008783
21_1,0.09525848089621204
21_2,0.2560003942911141
21_3,-9.346787486224656
21_4,0.09525848089621204
21_5,0.3260561278224248
22_1,-0.46101371154600795
22_2,0.29114650837485184
22_3,0.29114650837485184
22_4,-0.1599837163842051
22_5,-0.1599837163842051
23_1,0.24372310908558956
23_2,0.09950939895758235
23_3,0.2364626464488416
23_4,0.2381342980518162
23_5,0.15123715348790678
24_1,1.0791734482419122
24_2,1.075124121950107
24_3,0.9732959736757885
24_4,1.017810324491197
24_5,1.1481596114554347
