,src_id,dst_id,score
2,0,3_1,1.058504723922658
5,0,6_1,-2.159931336813649
6,0,7_1,-0.2046804703408347
7,0,8_1,0.3207292299047725
12,0,13_1,0.9843165351104302
14,0,15_1,1.019044202593743
15,0,16_1,0.5606815769567167
19,0,20_1,0.2638697580582392
20,0,21_1,0.1475869846187879
22,0,23_1,0.4282681923449497
23,0,24_1,1.159109720323776
24,0,1_2,-7.241466577762713
25,0,2_2,2.366673644048148
29,0,6_2,-1.91040601131872
31,0,8_2,0.4913272381841001
32,0,9_2,0.260268229544124
33,0,10_2,2.134248191139864
34,0,11_2,1.680671363603197
35,0,12_2,0.4063650524618771
37,0,14_2,-3.238540482762964
42,0,19_2,0.14777136346983
43,0,20_2,0.1526796558263662
45,0,22_2,0.291146513184305
46,0,23_2,0.3870641826440502
48,0,1_3,-6.903785414653595
49,0,2_3,2.7557236570965897
50,0,3_3,1.2544855334546996
51,0,4_3,1.263674722633951
52,0,5_3,-8.0
54,0,7_3,0.0491374715469195
57,0,10_3,1.840267956360103
61,0,14_3,-3.286979875265565
64,0,17_3,-0.3999101684105224
65,0,18_3,0.0357477128192949
67,0,20_3,0.328893019526925
69,0,22_3,0.2911505973571613
73,0,2_4,2.4943416339895994
74,0,3_4,1.1831404832121502
75,0,4_4,1.1440671286702992
76,0,5_4,-8.0
77,0,6_4,-1.785435363279796
79,0,8_4,0.3189202687318802
80,0,9_4,0.4764713994590453
82,0,11_4,1.6752468862669232
83,0,12_4,-0.0645550226424429
84,0,13_4,-0.1037863548552929
86,0,15_4,1.128414154759129
87,0,16_4,0.5382331983763953
88,0,17_4,-0.1687658447729063
89,0,18_4,0.4667624117053831
90,0,19_4,0.3346251980391859
92,0,21_4,0.3725191398034007
95,0,24_4,1.3915143481105825
96,0,1_5,-6.939491024394703
99,0,4_5,1.2553669565899073
100,0,5_5,-8.0
102,0,7_5,0.0891110359579994
104,0,9_5,0.0545333686092579
105,0,10_5,2.8092515207284854
106,0,11_5,1.4352501630396717
107,0,12_5,0.8387935869836669
108,0,13_5,0.5543031816217313
109,0,14_5,-3.0785892459867634
110,0,15_5,0.9520527306999492
111,0,16_5,0.7292774699624761
112,0,17_5,-1.2936281749871714
113,0,18_5,-0.454608556682407
114,0,19_5,0.214249037275865
116,0,21_5,0.292440392548569
117,0,22_5,0.8616317276571033
118,0,23_5,0.4313397631522284
119,0,24_5,1.3103125826247812
122,1,3_1,1.0007252208851671
125,1,6_1,-1.238662553627509
126,1,7_1,-0.1367163246472741
127,1,8_1,0.5223752325280957
132,1,13_1,1.0783643452426377
134,1,15_1,1.1543466023569386
135,1,16_1,0.5325449977656259
139,1,20_1,0.0754948451722643
140,1,21_1,0.251223157329511
142,1,23_1,0.3807454421920714
143,1,24_1,1.1517789762766293
144,1,1_2,-2.753606583394641
145,1,2_2,2.286354729798044
149,1,6_2,-1.0841265519114718
151,1,8_2,0.6046783736474034
152,1,9_2,0.4415714241371714
153,1,10_2,2.098080884600463
154,1,11_2,1.598315928443199
155,1,12_2,2.4250242065821417
157,1,14_2,-2.377406047492821
162,1,19_2,0.2660509986804287
163,1,20_2,0.1710153041263155
165,1,22_2,0.1222873764988865
166,1,23_2,0.4359031444095385
168,1,1_3,-2.949678972212395
169,1,2_3,2.520704065043738
170,1,3_3,1.2023068100643306
171,1,4_3,1.0506391444996013
172,1,5_3,-8.0
174,1,7_3,-0.4202944611161657
177,1,10_3,2.435291524193171
181,1,14_3,-2.7804966692974054
184,1,17_3,-0.9369796609361842
185,1,18_3,-0.067344086686346
187,1,20_3,0.1100423711684486
189,1,22_3,0.7536218605633831
193,1,2_4,2.69028631728244
194,1,3_4,1.0145577638669767
195,1,4_4,0.8836273013514631
196,1,5_4,-8.0
197,1,6_4,-0.9248278946530712
199,1,8_4,0.6400319168362312
200,1,9_4,0.3671688992251993
202,1,11_4,1.613798665044654
203,1,12_4,2.125324762657627
204,1,13_4,0.7021141944087187
206,1,15_4,0.983919359071731
207,1,16_4,1.0638470729740208
208,1,17_4,-0.989680327728874
209,1,18_4,-0.3731260167722808
210,1,19_4,0.1542400495538666
