,target
1_1,-8.0
1_2,-8.0
1_3,-8.0
1_4,-8.0
1_5,-8.0
2_1,-8.0
2_2,-8.0
2_3,1.0486609680202827
2_4,-8.0
2_5,-8.0
3_1,-0.6834662133314139
3_2,-0.0893686493090243
3_3,-0.15630517818195602
3_4,0.6666958356816378
3_5,-0.6268687500456587
4_1,-0.006657521291112667
4_2,-0.7349572318877734
4_3,0.1021305374851111
4_4,0.3157806249119189
4_5,0.02046585765731359
5_1,-8.0
5_2,-8.0
5_3,-8.0
5_4,-8.0
5_5,-8.0
6_1,0.5188486073487275
6_2,-4.247487527832471
6_3,-1.2437367966428698
6_4,0.3879111649680195
6_5,-2.945980791312796
7_1,-8.0
7_2,-2.3030449816408924
7_3,-2.0646510411949435
7_4,-8.0
7_5,-8.0
8_1,-0.3749952512525166
8_2,-0.42302043852660126
8_3,-0.3894432304634656
8_4,-1.8184240141698338
8_5,-2.0046167385530334
9_1,0.629245053081843
9_2,-1.9497292448346035
9_3,-0.37593329598806013
9_4,-1.1613644892628336
9_5,-4.120574652135288
10_1,1.096759802905629
10_2,1.5333972964584024
10_3,1.4697272639562182
10_4,1.2203422840864073
10_5,1.115604396202518
11_1,0.15332720321474214
11_2,0.6307639690632916
11_3,-1.085778457336275
11_4,-0.08924973074803319
11_5,0.6352864504091359
12_1,1.0116463160110574
12_2,1.003104474854425
12_3,0.8357080170620287
12_4,0.20792028770819593
12_5,1.6507599064104421
13_1,-0.745903477013489
13_2,-1.4338239869979101
13_3,-0.28541924791147516
13_4,-0.6519257773937703
13_5,-0.8930965938472106
14_1,-5.160248640526697
14_2,-5.311798269936972
14_3,-5.374625805396978
14_4,-4.857218031491655
14_5,-4.987774591478944
15_1,0.8850231866878604
15_2,0.8448528454634934
15_3,0.8494034865256405
15_4,0.858925763794961
15_5,0.8552926905389271
16_1,0.2891594327613073
16_2,0.30537233536664515
16_3,0.2838797492954964
16_4,0.27987974517275055
16_5,0.2036324378397152
17_1,-2.9934410543417855
17_2,-3.8229349870653113
17_3,-4.6725542154020205
17_4,-3.344246398258633
17_5,-3.201149204045293
18_1,-0.971675970054649
18_2,-0.9185900056275365
18_3,-2.20743783084673
18_4,-0.6972239116072091
18_5,-1.0588469112139853
19_1,0.043159757100778635
19_2,-0.13327652829966327
19_3,-0.0558502885031952
19_4,0.03597397299938209
19_5,-0.0663687394567063
20_1,-2.096583413391049
20_2,-0.769514385992367
20_3,-0.7558670479378501
20_4,-0.5931757543744834
20_5,-0.33618182560616167
21_1,0.2880959782812641
21_2,-0.10024310906127747
21_3,0.11830211073573221
21_4,0.21594839333287089
21_5,-0.5098196786952406
22_1,0.31613867363334575
22_2,0.11197090341631208
22_3,-0.016181571598783008
22_4,0.41339161362863214
22_5,0.29175620472852004
23_1,0.1397060808413391
23_2,-0.030238629280881398
23_3,0.13020953436669003
23_4,0.09716424506534846
23_5,0.11151305569697428
24_1,1.127100120245852
24_2,1.086883482179725
24_3,1.1047880935287087
24_4,1.1486669301346204
24_5,1.0805039792288653
