,target
1_1,-8.21824462534753
1_2,-7.293709042741237
1_3,-7.634512015109101
1_4,-7.962573502059376
1_5,-8.356547323513812
2_1,1.5161723855427462
2_2,1.289286487095006
2_3,-3.4073858362837006
2_4,1.556997399775633
2_5,-2.0438106119586634
3_1,1.4826630085521735
3_2,1.5232515260660235
3_3,1.5270719654905778
3_4,1.4341862865510595
3_5,1.3780411432686774
4_1,1.9731053760969566
4_2,1.6835496840999802
4_3,1.7011652957665435
4_4,1.668519287042094
4_5,1.7902079102458686
5_1,-8.0
5_2,-8.0
5_3,-8.0
5_4,-8.0
5_5,-8.0
6_1,1.977357069238061
6_2,1.9656800510219914
6_3,2.1078845298795112
6_4,2.0589318728134325
6_5,2.0649344770639995
7_1,1.5714031715088448
7_2,1.4645886147617888
7_3,1.4711823117222267
7_4,1.2722653873638459
7_5,1.522763262952376
8_1,1.4554295789267422
8_2,1.4595194585823852
8_3,1.9077661189484976
8_4,1.4432036922465992
8_5,1.396772234826838
9_1,1.460529373628962
9_2,1.4630243844934863
9_3,1.440884158240067
9_4,1.4524824217024437
9_5,1.7381632428239542
10_1,4.700766947918911
10_2,4.686342591986959
10_3,4.661251860129232
10_4,4.707504782778901
10_5,4.696111064871402
11_1,2.508060957559596
11_2,2.5061125914235776
11_3,2.5661071817790653
11_4,2.596327489467011
11_5,2.590496995434006
12_1,1.0216917244241506
12_2,3.232369920855121
12_3,0.7520712252144126
12_4,1.0372284336021111
12_5,1.128846269218136
13_1,1.5430358711045022
13_2,1.188898159371788
13_3,1.9906437186401673
13_4,0.48157869364793404
13_5,0.8551116086153973
14_1,-2.2685841289019852
14_2,-2.1897979677239214
14_3,-2.1430416767048484
14_4,-2.2803478349199957
14_5,-2.1629201228291643
15_1,2.3143781304867277
15_2,2.3088279017012803
15_3,2.3231263442353023
15_4,2.3481793433221965
15_5,2.313757261647088
16_1,1.4814253549765475
16_2,1.4848658554976648
16_3,1.4880890175443748
16_4,1.4700989287266297
16_5,1.456425523427434
17_1,0.04307001286359124
17_2,0.16862724984325217
17_3,0.0904330019033304
17_4,0.24220639343293787
17_5,0.14736819145615132
18_1,0.69543332905245
18_2,0.7377942570419803
18_3,0.6977271690086799
18_4,0.6936098568469781
18_5,0.7076956283861534
19_1,0.8358935822032731
19_2,0.8122189189648408
19_3,0.809783826445074
19_4,0.7806509540481051
19_5,0.796928614731311
20_1,0.0010491938043836616
20_2,0.08327878515394548
20_3,0.055310414507580945
20_4,0.05958886881890994
20_5,0.010116651012015976
21_1,0.8723471488890543
21_2,0.3008964043228247
21_3,0.4173883273839394
21_4,-0.13438424429748347
21_5,0.41971633022830923
22_1,1.163901714771206
22_2,0.2942427734687274
22_3,0.4150539253898901
22_4,0.7043854087756917
22_5,0.941648103536489
23_1,0.5403131489789756
23_2,0.5547506962727452
23_3,0.5366104091410542
23_4,0.5192097923633505
23_5,0.5465126685725359
24_1,2.4015224219721616
24_2,2.402365057109056
24_3,2.4065935903553046
24_4,2.4143329405307234
24_5,2.400295164477855
