,target
1_1,1.8704784757169677
1_2,1.810697441543387
1_3,1.9115069391029988
1_4,1.8917567189565108
1_5,1.9084610176271175
2_1,6.0600391996470115
2_2,6.086960433645975
2_3,5.974525127878459
2_4,5.997891960306183
2_5,6.119285291126308
3_1,2.734484899960266
3_2,2.7637644763326144
3_3,2.743109164140178
3_4,2.8078774881570094
3_5,2.7726592817274396
4_1,2.9899445077427513
4_2,3.002085679339293
4_3,2.9996310797847627
4_4,2.999384674999678
4_5,2.992597919056911
5_1,1.9155647215487324
5_2,1.8779708884478608
5_3,1.9605484787828364
5_4,1.8833084169755887
5_5,1.9015200782131576
6_1,4.804597241081883
6_2,4.130019808271907
6_3,4.0848626483670145
6_4,4.207871288511981
6_5,4.0296312924464885
7_1,2.6671431095444604
7_2,2.6613827396224825
7_3,2.655948217853111
7_4,2.6406160058981367
7_5,2.672204490536557
8_1,4.732924687231962
8_2,4.729712748718278
8_3,4.720748961123889
8_4,4.731439193545888
8_5,4.743929986643773
9_1,4.768711048999267
9_2,4.758613245852864
9_3,4.748282896049474
9_4,4.758758773815728
9_5,4.736539870711176
10_1,6.219192088846596
10_2,6.134204365768457
10_3,6.156904232034737
10_4,6.1194413994743995
10_5,6.06143758248722
11_1,2.453154582121381
11_2,2.539893769355793
11_3,2.540541027740532
11_4,2.5067349191442148
11_5,2.5423637490180613
12_1,8.083100710542178
12_2,8.064195891651996
12_3,8.084151617673907
12_4,8.019278316862152
12_5,8.053680036633635
13_1,3.18746652927247
13_2,3.1971260433467665
13_3,3.204999939383353
13_4,3.2120034389809162
13_5,3.2168535885993887
14_1,1.4221966663401429
14_2,1.4406075741182507
14_3,1.3635576982318307
14_4,1.4032814845366643
14_5,1.4230729300146125
15_1,2.776877738833519
15_2,2.790306070245097
15_3,2.807557658164561
15_4,2.798858649097993
15_5,2.8119429567378984
16_1,1.5394242251300743
16_2,1.5213567201365477
16_3,1.5334550343761875
16_4,1.549884097433632
16_5,1.5566754163907233
17_1,0.9546937107681212
17_2,0.9594146847393766
17_3,0.9749300401930348
17_4,0.970166405438997
17_5,0.9561104225548064
18_1,1.5321312778424887
18_2,1.5505960850982135
18_3,1.5414861481860411
18_4,1.5199001972804527
18_5,1.5510097490181933
19_1,1.1602569912437306
19_2,1.1574117769150896
19_3,1.162387493452802
19_4,1.1611770504130088
19_5,1.1610931280680357
20_1,4.3973368738184115
20_2,4.390497454416497
20_3,4.391174775200554
20_4,4.416176606914388
20_5,4.36549103090807
21_1,1.8739998509736862
21_2,1.86574005392214
21_3,1.8658166003730488
21_4,1.8721086765387014
21_5,1.8679438007810791
22_1,1.8536730894707851
22_2,1.849083718091407
22_3,1.8445010306105512
22_4,1.8402880168977271
22_5,1.86593378417393
23_1,0.6386347144854106
23_2,0.6586749587895039
23_3,0.5965462499051059
23_4,0.6612007806459436
23_5,0.6324438973290574
24_1,2.7656952258065273
24_2,2.7532278109595025
24_3,2.767050832996448
24_4,2.765553843975708
24_5,2.7969665339558065
