,target
1_1,-8.0
1_2,-8.0
1_3,-8.0
1_4,-8.0
1_5,-8.0
2_1,-8.18045606445813
2_2,-7.4050552633049165
2_3,-8.568636235841012
2_4,-8.756961951313706
2_5,-8.0
3_1,1.8814652182583655
3_2,1.8073637622978114
3_3,1.8814625904231
3_4,1.8173480764079863
3_5,1.7866795202105843
4_1,1.9868072715053398
4_2,2.07878905559968
4_3,2.0064031399158266
4_4,1.9890281002790857
4_5,1.9999685063683432
5_1,-8.0
5_2,-8.0
5_3,-8.0
5_4,-8.0
5_5,-8.0
6_1,1.4227157023161625
6_2,1.4470481828821953
6_3,2.055839532639922
6_4,1.5213480018476944
6_5,1.5828085094213606
7_1,1.393362891090881
7_2,1.4352740308634808
7_3,1.3933811489463435
7_4,1.288633412501057
7_5,1.5913435981272994
8_1,1.824729521026756
8_2,1.6771207433354955
8_3,1.2987638528216223
8_4,1.6854864075420581
8_5,1.401582735339835
9_1,1.4672595205453764
9_2,1.6011080834643523
9_3,1.4434479586212914
9_4,1.4682114667966695
9_5,1.4561766942004728
10_1,3.637587222387726
10_2,3.911978190456024
10_3,3.64694985555167
10_4,3.807147199806533
10_5,3.9422905363167717
11_1,1.848954254111473
11_2,1.841021849258345
11_3,1.7550904255435202
11_4,1.8782920604420439
11_5,1.7960298561811077
12_1,0.6686175759764064
12_2,0.9253617108636261
12_3,0.3795447342438005
12_4,0.914103493170384
12_5,0.32357108831360337
13_1,1.000988885329593
13_2,1.2460570813995662
13_3,1.272864641537427
13_4,1.0886084018621986
13_5,1.0891369088875809
14_1,-1.899246841142573
14_2,-2.8035200671134195
14_3,-2.1898508496721543
14_4,-2.812005170026478
14_5,-2.4562965934296077
15_1,2.295877289155785
15_2,2.328294796314941
15_3,2.312432242744756
15_4,2.3522365704839663
15_5,2.3304199290664793
16_1,1.365345483015118
16_2,1.3869888806261232
16_3,1.3670378259237206
16_4,1.3871064546732215
16_5,1.3721346063232618
17_1,0.11748120198569735
17_2,0.13082160879179938
17_3,0.12567797526713648
17_4,0.11906601482109543
17_5,0.14227491264813566
18_1,0.6243703847316154
18_2,0.5184031635167577
18_3,0.664875842201752
18_4,0.5175474875270556
18_5,0.5757198721328282
19_1,0.7508367136883629
19_2,0.7542453858809879
19_3,0.7592113776244566
19_4,0.7640136313204308
19_5,0.7566980367143135
20_1,0.12142998736836945
20_2,0.1598039466583254
20_3,0.12274797747779904
20_4,0.1519163686640057
20_5,0.1781471736396176
21_1,0.9166590450712334
21_2,0.3399042474599001
21_3,0.9538945865288876
21_4,0.05209106549836006
21_5,0.5062224359191643
22_1,1.1639017146744304
22_2,0.6705514445800923
22_3,0.8390239366340032
22_4,0.704388496811776
22_5,0.7902735545002854
23_1,0.5031058023340369
23_2,0.49057081042564943
23_3,0.4623907859523966
23_4,0.47049393656153365
23_5,0.47235030424934793
24_1,2.361222373145854
24_2,2.3890169755276554
24_3,2.3689391142823184
24_4,2.4146297996395027
24_5,2.3694119004020653
