,target
1_1,2.143570030074342
1_2,2.154105643867443
1_3,2.142024049485295
1_4,2.1450119251268163
1_5,2.1111832476924595
2_1,6.488371178569334
2_2,6.472397805179873
2_3,6.469457947361247
2_4,6.575055664116164
2_5,6.573485506985041
3_1,2.9496194200675174
3_2,2.8848552298536045
3_3,2.9567891526438803
3_4,2.9324712721443804
3_5,2.9080556819115015
4_1,3.070103370967436
4_2,3.098834595561976
4_3,3.0895171490729223
4_4,3.06269025016882
4_5,3.0461987082272506
5_1,2.2042341473218157
5_2,2.2658081910573533
5_3,2.286455897952448
5_4,2.2808107997067286
5_5,2.2778672179102544
6_1,5.348470107390545
6_2,4.909930452994111
6_3,5.018992623640167
6_4,5.136529109906083
6_5,5.101116798158708
7_1,2.916453199622843
7_2,2.7953690033536707
7_3,2.7533539217098086
7_4,2.735408380878507
7_5,2.799617940768318
8_1,5.128438499353652
8_2,5.1707723550994835
8_3,5.124463330634486
8_4,5.10724052043263
8_5,5.094063879453792
9_1,5.043437890088078
9_2,5.026603418007725
9_3,5.056695739779826
9_4,5.094030457332414
9_5,4.999289883059746
10_1,6.358427385740603
10_2,6.240439138934894
10_3,6.274932327831699
10_4,6.229573907659406
10_5,6.252752936166084
11_1,2.5313318999713403
11_2,2.53661048808255
11_3,2.5134995569838225
11_4,2.5002366812413372
11_5,2.4494206339046984
12_1,8.296367814317163
12_2,8.291699018230881
12_3,8.338815968410522
12_4,8.289935479470808
12_5,8.278917651609472
13_1,3.347981008472903
13_2,3.3584539015171564
13_3,3.3572822854187625
13_4,3.3295495424716317
13_5,3.3321562627466257
14_1,1.6283505600621493
14_2,1.5623159967198155
14_3,1.5617165292496187
14_4,1.568605652777046
14_5,1.6170443623699369
15_1,2.9674347877825134
15_2,2.937058865659935
15_3,2.921972225725068
15_4,2.9670238168545344
15_5,2.952060765914543
16_1,1.545955238243744
16_2,1.5118153454813776
16_3,1.5069661063236663
16_4,1.5083093981009372
16_5,1.5401381957246258
17_1,1.0754922529420372
17_2,1.093189643639384
17_3,1.09449132329178
17_4,1.0670228664643957
17_5,1.132970366001971
18_1,1.6409398836466311
18_2,1.645541905522844
18_3,1.6853786312453813
18_4,1.645415203431421
18_5,1.699357007691021
19_1,1.2655130030495154
19_2,1.2970823236717937
19_3,1.3098419742134113
19_4,1.2890627752590351
19_5,1.3058518695618615
20_1,4.682727714951599
20_2,4.661784202268604
20_3,4.6264881962237485
20_4,4.753513206131762
20_5,4.74763345760902
21_1,1.8803269266142415
21_2,1.8755283390738642
21_3,1.8667411143426165
21_4,1.8719170747496263
21_5,1.8743692057351455
22_1,1.8921463209745946
22_2,1.8926193380987684
22_3,1.8848334334961083
22_4,1.8884823384433906
22_5,1.8945318090774204
23_1,0.6520521954463021
23_2,0.6189129926410993
23_3,0.6096624466473314
23_4,0.6612612968210413
23_5,0.6227625068880668
24_1,2.868780954220421
24_2,2.855308328316779
24_3,2.863531228212823
24_4,2.876441227331914
24_5,2.8709504227339138
