,target
1_1,-7.874518734299406
1_2,-5.29876455450186
1_3,-8.068033885271827
1_4,-7.920818753952375
1_5,-7.798602875679548
2_1,3.0884870206962685
2_2,3.514181108449451
2_3,2.379101161380848
2_4,3.294038590249394
2_5,-1.1533663050940188
3_1,1.4300466830257366
3_2,1.2606300858344368
3_3,1.5772271768203572
3_4,1.513154222925907
3_5,1.7237973103604478
4_1,1.7838286587734296
4_2,1.6120199104718773
4_3,1.7343557941344072
4_4,1.7208179124245477
4_5,1.829660040557554
5_1,-8.0
5_2,-8.0
5_3,-8.0
5_4,-8.0
5_5,-8.0
6_1,1.9210102391786053
6_2,2.108624742865084
6_3,2.1178861396565307
6_4,1.961988872577251
6_5,2.0682033436480727
7_1,1.605381233386989
7_2,1.5952972717993914
7_3,1.5859183908012306
7_4,1.6252775161105277
7_5,1.717915207121738
8_1,1.9440737342609933
8_2,1.430396410702453
8_3,1.90510634144592
8_4,1.8871593395965682
8_5,1.514711645718955
9_1,1.4583474787870296
9_2,1.4566018529906073
9_3,1.7473873697769975
9_4,1.4522779883791586
9_5,1.4582855629808338
10_1,4.667545602640855
10_2,4.606707108232901
10_3,4.650303520288022
10_4,4.790524380934877
10_5,4.756932003883516
11_1,2.562457266752884
11_2,2.543868833408777
11_3,2.541432746201819
11_4,2.52872219865355
11_5,2.5970077449198294
12_1,1.16184174318246
12_2,3.8813802424102
12_3,3.259106176929059
12_4,3.6973412674445183
12_5,0.8434494662165447
13_1,1.1350964001338477
13_2,1.1918623829236554
13_3,1.395463179116514
13_4,2.2713200029313887
13_5,0.9699949232171126
14_1,-0.5875042307837944
14_2,-1.250480379175597
14_3,-2.1454124444128504
14_4,-2.045473460770757
14_5,-0.5659576672512342
15_1,2.291395356130895
15_2,2.362319735253511
15_3,2.3540460761242765
15_4,2.322159516133128
15_5,2.3047238985477145
16_1,1.4812746098432432
16_2,1.4449184939370472
16_3,1.5014120362461543
16_4,1.4837627430248408
16_5,1.4648920510872119
17_1,0.2983831316891431
17_2,0.1686367239714195
17_3,0.10792699526632824
17_4,0.14773953186764666
17_5,0.29919119074894474
18_1,0.7804930683186305
18_2,0.7358418508553918
18_3,0.7484281384758396
18_4,0.8028890647650178
18_5,0.7695702134884431
19_1,0.818467220579029
19_2,0.8331157616294924
19_3,0.8290155219484685
19_4,0.8021603365362729
19_5,0.8210831640882721
20_1,0.10817351687259835
20_2,0.10548127471455307
20_3,0.061677776196329435
20_4,0.07857130115018404
20_5,0.06625732426779106
21_1,0.5132473596305266
21_2,0.32610429704652344
21_3,0.6208265658783374
21_4,0.06896725884631748
21_5,0.36159168264572344
22_1,1.1639017163136605
22_2,1.1558877268101804
22_3,0.23838109680683753
22_4,0.8443710668603659
22_5,0.9034801608883809
23_1,0.5626624887567715
23_2,0.5374964796990245
23_3,0.5752560815869197
23_4,0.5566663459837533
23_5,0.5739973792294153
24_1,2.4156864106985445
24_2,2.4084297734921134
24_3,2.416761917268258
24_4,2.426081313648456
24_5,2.413054382118405
