,target
1_1,-0.9445873509681566
1_2,-0.9321125710094252
1_3,-0.8406492862831249
1_4,-0.8141402342458671
1_5,-0.9742532579764559
2_1,2.631709427503741
2_2,2.9075708270578824
2_3,2.3913408555721785
2_4,2.5357982910412877
2_5,2.7785008765576658
3_1,1.4068006029785705
3_2,1.2768549908948976
3_3,1.3080284873196668
3_4,1.274069237739571
3_5,1.376407621453532
4_1,1.4323555281017726
4_2,1.3299263980882678
4_3,1.4068963447466076
4_4,1.3003698584172667
4_5,1.4599953892601256
5_1,-8.0
5_2,-8.0
5_3,-0.6346027119121458
5_4,-8.0
5_5,-8.0
6_1,1.3248881653937767
6_2,1.1275829602402994
6_3,1.108307323713434
6_4,0.7791214860110558
6_5,1.2120873309946463
7_1,0.8845273211121337
7_2,0.4293667751376159
7_3,0.4263614282257803
7_4,0.34351927383885006
7_5,0.578371126444495
8_1,1.9946463789292994
8_2,1.708080108049499
8_3,1.4220626041010256
8_4,1.4809444710161948
8_5,1.6230047160068173
9_1,1.7449577700112486
9_2,1.231060813397873
9_3,1.437286799432446
9_4,1.5476512955091777
9_5,1.799977727603622
10_1,3.762197258220931
10_2,3.758224384522448
10_3,3.5991348030935626
10_4,3.8743654518169213
10_5,3.6586795822945755
11_1,1.6688238857098812
11_2,1.8114276970519902
11_3,1.5194764800936835
11_4,1.7602187384313832
11_5,1.702797778252292
12_1,4.924981921618002
12_2,4.6095355644374525
12_3,4.755021305130471
12_4,4.632745132585687
12_5,5.308287702835045
13_1,1.7594898221685242
13_2,1.7964225366439774
13_3,1.8363649947979006
13_4,1.7765731905359035
13_5,1.9537227341749668
14_1,-0.45946315655615205
14_2,-0.5072858488299813
14_3,-0.6397562972436881
14_4,-0.16712379729664778
14_5,-0.25727724514864314
15_1,1.4710811407992979
15_2,1.5738183390044274
15_3,1.3936170511049344
15_4,1.4394918390058362
15_5,1.499700932917165
16_1,1.0243711598890883
16_2,0.9304996220076153
16_3,1.0593709399642883
16_4,1.0435690945263159
16_5,1.0429438789110277
17_1,0.40057272081225404
17_2,0.14250127462240073
17_3,0.2544393478088603
17_4,0.15380820128652115
17_5,0.2678482409385656
18_1,0.9251937411615986
18_2,0.8614012623725041
18_3,0.8677700896240618
18_4,0.8815059080108785
18_5,0.8659894731471474
19_1,0.5281488241620119
19_2,0.39978233924766166
19_3,0.4489541883101181
19_4,0.45759597820805237
19_5,0.6018781966405117
20_1,0.38361025916969765
20_2,0.3439414525417932
20_3,0.31039872508631033
20_4,0.3781699559666743
20_5,0.4140137142418594
21_1,0.621633709290702
21_2,0.5277356326491718
21_3,0.8698584608664343
21_4,0.5662484960244187
21_5,0.8879206487159154
22_1,0.7145448852318558
22_2,0.8519092615739156
22_3,0.9051138243018393
22_4,0.3340561525070184
22_5,0.3508928532423093
23_1,0.4391244914111635
23_2,0.44209249584220606
23_3,0.38608856153812304
23_4,0.46963556442424503
23_5,0.5073518290247115
24_1,1.429033549640139
24_2,1.4574557227703566
24_3,1.4558802384257885
24_4,1.4969664428205431
24_5,1.4824484637946616
