,target
1_1,1.3972779408566338
1_2,1.504877032786487
1_3,1.5256500471064314
1_4,1.4287760067702775
1_5,1.2770729236394072
2_1,5.545442504589422
2_2,5.012779784797023
2_3,5.358914338844204
2_4,5.149118075818658
2_5,5.2462526996962815
3_1,2.410874763775084
3_2,2.3815387286856406
3_3,2.459124674786751
3_4,2.4029076949391426
3_5,2.4334048925466383
4_1,2.476499629984536
4_2,2.5140185769881636
4_3,2.528649533056102
4_4,2.515835761652906
4_5,2.5006386151653954
5_1,2.1170926505991168
5_2,2.18196100603367
5_3,2.1620469675350047
5_4,2.15827609366817
5_5,2.146639062081545
6_1,4.072500723492697
6_2,2.1735039297915955
6_3,2.5992363883947007
6_4,3.202195341293309
6_5,2.189298229136262
7_1,1.9905470963017262
7_2,1.9351973673807237
7_3,1.847468750602252
7_4,2.00745470581131
7_5,1.8450631642257396
8_1,3.8169880857928704
8_2,3.834393964922113
8_3,3.916401441091905
8_4,3.9403663373387547
8_5,3.755458991446
9_1,2.7434902176764835
9_2,2.6893674415438467
9_3,2.626906774479499
9_4,2.478974343667363
9_5,2.656588258230736
10_1,5.036273689996665
10_2,4.793231039749774
10_3,4.805078061919607
10_4,4.78072596715882
10_5,4.744453697212963
11_1,2.353350889568035
11_2,2.298543621088736
11_3,2.295842672351326
11_4,2.394283870771699
11_5,2.2795197535647276
12_1,7.403596363151396
12_2,7.552225755308432
12_3,7.691324330502832
12_4,7.414527586337034
12_5,7.403735269175167
13_1,3.0130101022451714
13_2,3.0625177083101085
13_3,3.0024280694128533
13_4,2.9543636681480114
13_5,2.9350997886637247
14_1,0.9324001434577928
14_2,0.9900836973827422
14_3,0.8773003328560272
14_4,0.8207612318414179
14_5,0.8626017186871127
15_1,2.5774918243409695
15_2,2.5586655846317186
15_3,2.5213594257243845
15_4,2.6056783535728862
15_5,2.511127472514635
16_1,1.4964759091746878
16_2,1.50483339978074
16_3,1.4991473564819486
16_4,1.5008439173091601
16_5,1.4806034297029345
17_1,0.6789738740620717
17_2,0.6065800051822666
17_3,0.7162995034522065
17_4,0.6533494184359027
17_5,0.6604619648425268
18_1,1.2314153039946498
18_2,1.1427434076077192
18_3,1.2938821375114995
18_4,1.1524345156572664
18_5,1.1437569285162832
19_1,0.8030125009507755
19_2,0.8023501186831102
19_3,0.7970093601642643
19_4,0.8195301340887993
19_5,0.808891590618655
20_1,0.40627603411391544
20_2,1.067392879862614
20_3,0.4020884278846151
20_4,0.605182231974957
20_5,0.47036714338594543
21_1,1.4097678206075606
21_2,1.197426228975701
21_3,1.3482924434603414
21_4,1.268382697688664
21_5,1.2447814415704153
22_1,1.5545624011802301
22_2,1.3219589562917569
22_3,1.3047875799040833
22_4,1.4446792953750087
22_5,1.4734971996177701
23_1,0.5959516182355701
23_2,0.5768602427044011
23_3,0.5787058754883074
23_4,0.601762087159601
23_5,0.6035108211592213
24_1,2.452756598979232
24_2,2.4753440489192067
24_3,2.4575672797164643
24_4,2.4414548706038275
24_5,2.459995119791994
